"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","WKGPOP","TOT","PC_POP","A","1995",65.2965779952378,
"FRA","WKGPOP","TOT","PC_POP","A","1996",65.2662527992237,
"FRA","WKGPOP","TOT","PC_POP","A","1997",65.2431715201253,
"FRA","WKGPOP","TOT","PC_POP","A","1998",65.1979916751273,
"FRA","WKGPOP","TOT","PC_POP","A","1999",65.1226272106997,
"FRA","WKGPOP","TOT","PC_POP","A","2000",65.0463039964904,
"FRA","WKGPOP","TOT","PC_POP","A","2001",65.0000522372614,
"FRA","WKGPOP","TOT","PC_POP","A","2002",64.9891314846063,
"FRA","WKGPOP","TOT","PC_POP","A","2003",65.0159796783703,
"FRA","WKGPOP","TOT","PC_POP","A","2004",65.0398826707291,
"FRA","WKGPOP","TOT","PC_POP","A","2005",65.0714834739576,
"FRA","WKGPOP","TOT","PC_POP","A","2006",65.1298385828962,
"FRA","WKGPOP","TOT","PC_POP","A","2007",65.1394880393971,
"FRA","WKGPOP","TOT","PC_POP","A","2008",65.0462738675619,
"FRA","WKGPOP","TOT","PC_POP","A","2009",64.895262029347,
"FRA","WKGPOP","TOT","PC_POP","A","2010",64.753493842489,
"FRA","WKGPOP","TOT","PC_POP","A","2011",64.4819297129731,
"FRA","WKGPOP","TOT","PC_POP","A","2012",64.0609334147037,
"FRA","WKGPOP","TOT","PC_POP","A","2013",63.6427936301106,
"FRA","WKGPOP","TOT","PC_POP","A","2014",63.2100079377855,
"FRA","WKGPOP","TOT","PC_POP","A","2015",62.861157738062,
"FRA","WKGPOP","TOT","PC_POP","A","2016",62.5623946942746,
"FRA","WKGPOP","TOT","PC_POP","A","2017",62.2957618397916,
"FRA","WKGPOP","TOT","PC_POP","A","2018",62.0576242967729,
"FRA","WKGPOP","TOT","PC_POP","A","2019",61.8229467246081,
"FRA","WKGPOP","TOT","PC_POP","A","2020",61.6208403379512,
"DEU","WKGPOP","TOT","PC_POP","A","1970",63.1323581890253,
"DEU","WKGPOP","TOT","PC_POP","A","1971",63.0390677451889,
"DEU","WKGPOP","TOT","PC_POP","A","1972",63.0841298818315,
"DEU","WKGPOP","TOT","PC_POP","A","1973",63.24422443348,
"DEU","WKGPOP","TOT","PC_POP","A","1974",63.4289068724778,
"DEU","WKGPOP","TOT","PC_POP","A","1975",63.6399550013979,
"DEU","WKGPOP","TOT","PC_POP","A","1976",63.977244811733,
"DEU","WKGPOP","TOT","PC_POP","A","1977",64.3584740920503,
"DEU","WKGPOP","TOT","PC_POP","A","1978",64.7775930337186,
"DEU","WKGPOP","TOT","PC_POP","A","1979",65.2822703755287,
"DEU","WKGPOP","TOT","PC_POP","A","1980",65.9141967277576,
"DEU","WKGPOP","TOT","PC_POP","A","1981",66.7252895830502,
"DEU","WKGPOP","TOT","PC_POP","A","1982",67.6130898212274,
"DEU","WKGPOP","TOT","PC_POP","A","1983",68.4783835774506,
"DEU","WKGPOP","TOT","PC_POP","A","1984",69.1395649363805,
"DEU","WKGPOP","TOT","PC_POP","A","1985",69.4234339918768,
"DEU","WKGPOP","TOT","PC_POP","A","1986",69.4836665742929,
"DEU","WKGPOP","TOT","PC_POP","A","1987",69.4729927779987,
"DEU","WKGPOP","TOT","PC_POP","A","1988",69.363779721385,
"DEU","WKGPOP","TOT","PC_POP","A","1989",69.1970114417436,
"DEU","WKGPOP","TOT","PC_POP","A","1990",68.9790232612794,
"DEU","WKGPOP","TOT","PC_POP","A","1991",68.7671008566374,
"DEU","WKGPOP","TOT","PC_POP","A","1992",68.6507236172245,
"DEU","WKGPOP","TOT","PC_POP","A","1993",68.5261580459096,
"DEU","WKGPOP","TOT","PC_POP","A","1994",68.3784822938324,
"DEU","WKGPOP","TOT","PC_POP","A","1995",68.2858255448471,
"DEU","WKGPOP","TOT","PC_POP","A","1996",68.2505820618522,
"DEU","WKGPOP","TOT","PC_POP","A","1997",68.2397788011243,
"DEU","WKGPOP","TOT","PC_POP","A","1998",68.2424714643207,
"DEU","WKGPOP","TOT","PC_POP","A","1999",68.1512745339865,
"DEU","WKGPOP","TOT","PC_POP","A","2000",67.9366540211934,
"DEU","WKGPOP","TOT","PC_POP","A","2001",67.7256419149666,
"DEU","WKGPOP","TOT","PC_POP","A","2002",67.5476166112042,
"DEU","WKGPOP","TOT","PC_POP","A","2003",67.3610937529817,
"DEU","WKGPOP","TOT","PC_POP","A","2004",67.0887793907499,
"DEU","WKGPOP","TOT","PC_POP","A","2005",66.768258261447,
"DEU","WKGPOP","TOT","PC_POP","A","2006",66.4584975363164,
"DEU","WKGPOP","TOT","PC_POP","A","2007",66.2431331450579,
"DEU","WKGPOP","TOT","PC_POP","A","2008",66.1012713211141,
"DEU","WKGPOP","TOT","PC_POP","A","2009",65.9396106395439,
"DEU","WKGPOP","TOT","PC_POP","A","2010",65.9379069912817,
"DEU","WKGPOP","TOT","PC_POP","A","2011",65.8445923518811,
"DEU","WKGPOP","TOT","PC_POP","A","2012",65.9471971105401,
"DEU","WKGPOP","TOT","PC_POP","A","2013",65.9663400131972,
"DEU","WKGPOP","TOT","PC_POP","A","2014",65.8749301315056,
"DEU","WKGPOP","TOT","PC_POP","A","2015",65.74913723924,
"DEU","WKGPOP","TOT","PC_POP","A","2016",65.5491857433664,
"DEU","WKGPOP","TOT","PC_POP","A","2017",65.2541575426159,
"DEU","WKGPOP","TOT","PC_POP","A","2018",64.9868703979992,
"DEU","WKGPOP","TOT","PC_POP","A","2019",64.7044205599228,
"DEU","WKGPOP","TOT","PC_POP","A","2020",64.3874714448047,
"ITA","WKGPOP","TOT","PC_POP","A","1970",64.5346723645316,
"ITA","WKGPOP","TOT","PC_POP","A","1971",64.3491838196234,
"ITA","WKGPOP","TOT","PC_POP","A","1972",64.1737989378527,
"ITA","WKGPOP","TOT","PC_POP","A","1973",63.9786412787033,
"ITA","WKGPOP","TOT","PC_POP","A","1974",63.7998638018235,
"ITA","WKGPOP","TOT","PC_POP","A","1975",63.7183521891444,
"ITA","WKGPOP","TOT","PC_POP","A","1976",63.7337565386547,
"ITA","WKGPOP","TOT","PC_POP","A","1977",63.7960170676625,
"ITA","WKGPOP","TOT","PC_POP","A","1978",63.9268261488859,
"ITA","WKGPOP","TOT","PC_POP","A","1979",64.1945550026413,
"ITA","WKGPOP","TOT","PC_POP","A","1980",64.57863358526,
"ITA","WKGPOP","TOT","PC_POP","A","1981",65.117968009231,
"ITA","WKGPOP","TOT","PC_POP","A","1982",65.7896103744055,
"ITA","WKGPOP","TOT","PC_POP","A","1983",66.5007751563024,
"ITA","WKGPOP","TOT","PC_POP","A","1984",67.1671840850297,
"ITA","WKGPOP","TOT","PC_POP","A","1985",67.5605776466977,
"ITA","WKGPOP","TOT","PC_POP","A","1986",67.7864876938553,
"ITA","WKGPOP","TOT","PC_POP","A","1987",68.0225213497998,
"ITA","WKGPOP","TOT","PC_POP","A","1988",68.21650951301,
"ITA","WKGPOP","TOT","PC_POP","A","1989",68.3959853880004,
"ITA","WKGPOP","TOT","PC_POP","A","1990",68.5508968129844,
"ITA","WKGPOP","TOT","PC_POP","A","1991",68.8690343275676,
"ITA","WKGPOP","TOT","PC_POP","A","1992",69.0648628086114,
"ITA","WKGPOP","TOT","PC_POP","A","1993",68.9527907630202,
"ITA","WKGPOP","TOT","PC_POP","A","1994",68.8261275715386,
"ITA","WKGPOP","TOT","PC_POP","A","1995",68.618836565516,
"ITA","WKGPOP","TOT","PC_POP","A","1996",68.3685213714833,
"ITA","WKGPOP","TOT","PC_POP","A","1997",68.1469892330285,
"ITA","WKGPOP","TOT","PC_POP","A","1998",67.9337988481646,
"ITA","WKGPOP","TOT","PC_POP","A","1999",67.7017641127722,
"ITA","WKGPOP","TOT","PC_POP","A","2000",67.4457257536022,
"ITA","WKGPOP","TOT","PC_POP","A","2001",67.1979748451374,
"ITA","WKGPOP","TOT","PC_POP","A","2002",66.9413811284719,
"ITA","WKGPOP","TOT","PC_POP","A","2003",66.724702912604,
"ITA","WKGPOP","TOT","PC_POP","A","2004",66.507156770528,
"ITA","WKGPOP","TOT","PC_POP","A","2005",66.2054966035196,
"ITA","WKGPOP","TOT","PC_POP","A","2006",65.9365245428744,
"ITA","WKGPOP","TOT","PC_POP","A","2007",65.7968522053493,
"ITA","WKGPOP","TOT","PC_POP","A","2008",65.7142942068899,
"ITA","WKGPOP","TOT","PC_POP","A","2009",65.600894735824,
"ITA","WKGPOP","TOT","PC_POP","A","2010",65.5099511024868,
"ITA","WKGPOP","TOT","PC_POP","A","2011",65.3089857597711,
"ITA","WKGPOP","TOT","PC_POP","A","2012",65.0031317678553,
"ITA","WKGPOP","TOT","PC_POP","A","2013",64.7240773651298,
"ITA","WKGPOP","TOT","PC_POP","A","2014",64.4556343735223,
"ITA","WKGPOP","TOT","PC_POP","A","2015",64.2608379311972,
"ITA","WKGPOP","TOT","PC_POP","A","2016",64.1341893117916,
"ITA","WKGPOP","TOT","PC_POP","A","2017",64.0469739686779,
"ITA","WKGPOP","TOT","PC_POP","A","2018",63.9821931600828,
"ITA","WKGPOP","TOT","PC_POP","A","2019",63.8771046135536,
"ITA","WKGPOP","TOT","PC_POP","A","2020",63.7721995668696,
"JPN","WKGPOP","TOT","PC_POP","A","1970",68.9045833594444,
"JPN","WKGPOP","TOT","PC_POP","A","1971",68.7055909519321,
"JPN","WKGPOP","TOT","PC_POP","A","1972",68.4633607509643,
"JPN","WKGPOP","TOT","PC_POP","A","1973",68.1700056826514,
"JPN","WKGPOP","TOT","PC_POP","A","1974",67.9181635661509,
"JPN","WKGPOP","TOT","PC_POP","A","1975",67.7495567857046,
"JPN","WKGPOP","TOT","PC_POP","A","1976",67.5532813411852,
"JPN","WKGPOP","TOT","PC_POP","A","1977",67.4036806376735,
"JPN","WKGPOP","TOT","PC_POP","A","1978",67.3280371560031,
"JPN","WKGPOP","TOT","PC_POP","A","1979",67.3027919590203,
"JPN","WKGPOP","TOT","PC_POP","A","1980",67.3863797624604,
"JPN","WKGPOP","TOT","PC_POP","A","1981",67.2457490118912,
"JPN","WKGPOP","TOT","PC_POP","A","1982",67.475586213867,
"JPN","WKGPOP","TOT","PC_POP","A","1983",67.7115571877928,
"JPN","WKGPOP","TOT","PC_POP","A","1984",68.0126229167533,
"JPN","WKGPOP","TOT","PC_POP","A","1985",68.1826132397725,
"JPN","WKGPOP","TOT","PC_POP","A","1986",68.5184818346211,
"JPN","WKGPOP","TOT","PC_POP","A","1987",68.8585565981397,
"JPN","WKGPOP","TOT","PC_POP","A","1988",69.2378451260744,
"JPN","WKGPOP","TOT","PC_POP","A","1989",69.5662180917982,
"JPN","WKGPOP","TOT","PC_POP","A","1990",69.6806543376457,
"JPN","WKGPOP","TOT","PC_POP","A","1991",69.7794707536603,
"JPN","WKGPOP","TOT","PC_POP","A","1992",69.7823837774049,
"JPN","WKGPOP","TOT","PC_POP","A","1993",69.7527381581264,
"JPN","WKGPOP","TOT","PC_POP","A","1994",69.6080597134076,
"JPN","WKGPOP","TOT","PC_POP","A","1995",69.4882074213664,
"JPN","WKGPOP","TOT","PC_POP","A","1996",69.25037262442,
"JPN","WKGPOP","TOT","PC_POP","A","1997",68.9884334923831,
"JPN","WKGPOP","TOT","PC_POP","A","1998",68.7196100754234,
"JPN","WKGPOP","TOT","PC_POP","A","1999",68.483232559241,
"JPN","WKGPOP","TOT","PC_POP","A","2000",68.052690420185,
"JPN","WKGPOP","TOT","PC_POP","A","2001",67.6709272454455,
"JPN","WKGPOP","TOT","PC_POP","A","2002",67.2546788558873,
"JPN","WKGPOP","TOT","PC_POP","A","2003",66.9226369114317,
"JPN","WKGPOP","TOT","PC_POP","A","2004",66.6285526326094,
"JPN","WKGPOP","TOT","PC_POP","A","2005",66.0744434948239,
"JPN","WKGPOP","TOT","PC_POP","A","2006",65.5325281528382,
"JPN","WKGPOP","TOT","PC_POP","A","2007",64.9711910022891,
"JPN","WKGPOP","TOT","PC_POP","A","2008",64.4510085415848,
"JPN","WKGPOP","TOT","PC_POP","A","2009",63.9106790535961,
"JPN","WKGPOP","TOT","PC_POP","A","2010",63.8264931481638,
"JPN","WKGPOP","TOT","PC_POP","A","2011",63.6483984692895,
"JPN","WKGPOP","TOT","PC_POP","A","2012",62.8752264325054,
"JPN","WKGPOP","TOT","PC_POP","A","2013",62.0673705522588,
"JPN","WKGPOP","TOT","PC_POP","A","2014",61.2599669200387,
"JPN","WKGPOP","TOT","PC_POP","A","2015",60.806257567927,
"JPN","WKGPOP","TOT","PC_POP","A","2016",60.3168061278926,
"JPN","WKGPOP","TOT","PC_POP","A","2017",59.9515090854663,
"JPN","WKGPOP","TOT","PC_POP","A","2018",59.6716881052818,
"JPN","WKGPOP","TOT","PC_POP","A","2019",59.501891890101,
"JPN","WKGPOP","TOT","PC_POP","A","2020",59.2579628981449,
"SWE","WKGPOP","TOT","PC_POP","A","1970",65.4863922664834,
"SWE","WKGPOP","TOT","PC_POP","A","1971",65.2815305233483,
"SWE","WKGPOP","TOT","PC_POP","A","1972",65.0128648139398,
"SWE","WKGPOP","TOT","PC_POP","A","1973",64.7319289364993,
"SWE","WKGPOP","TOT","PC_POP","A","1974",64.4503160444097,
"SWE","WKGPOP","TOT","PC_POP","A","1975",64.1964234164945,
"SWE","WKGPOP","TOT","PC_POP","A","1976",64.018197321458,
"SWE","WKGPOP","TOT","PC_POP","A","1977",63.9050260596271,
"SWE","WKGPOP","TOT","PC_POP","A","1978",63.8735707531923,
"SWE","WKGPOP","TOT","PC_POP","A","1979",63.9592472769785,
"SWE","WKGPOP","TOT","PC_POP","A","1980",64.1164640730009,
"SWE","WKGPOP","TOT","PC_POP","A","1981",64.2980779238511,
"SWE","WKGPOP","TOT","PC_POP","A","1982",64.4750314104304,
"SWE","WKGPOP","TOT","PC_POP","A","1983",64.6097472393227,
"SWE","WKGPOP","TOT","PC_POP","A","1984",64.675853870795,
"SWE","WKGPOP","TOT","PC_POP","A","1985",64.6012791277233,
"SWE","WKGPOP","TOT","PC_POP","A","1986",64.4739722125579,
"SWE","WKGPOP","TOT","PC_POP","A","1987",64.4280279697163,
"SWE","WKGPOP","TOT","PC_POP","A","1988",64.4032353292243,
"SWE","WKGPOP","TOT","PC_POP","A","1989",64.3704979619,
"SWE","WKGPOP","TOT","PC_POP","A","1990",64.2832890554952,
"SWE","WKGPOP","TOT","PC_POP","A","1991",64.1232319443877,
"SWE","WKGPOP","TOT","PC_POP","A","1992",63.951700869802,
"SWE","WKGPOP","TOT","PC_POP","A","1993",63.8005390340926,
"SWE","WKGPOP","TOT","PC_POP","A","1994",63.7023002956129,
"SWE","WKGPOP","TOT","PC_POP","A","1995",63.6823231233822,
"SWE","WKGPOP","TOT","PC_POP","A","1996",63.7291102510022,
"SWE","WKGPOP","TOT","PC_POP","A","1997",63.8170059684205,
"SWE","WKGPOP","TOT","PC_POP","A","1998",63.9421306692201,
"SWE","WKGPOP","TOT","PC_POP","A","1999",64.1089023681629,
"SWE","WKGPOP","TOT","PC_POP","A","2000",64.3041814620915,
"SWE","WKGPOP","TOT","PC_POP","A","2001",64.5118577943726,
"SWE","WKGPOP","TOT","PC_POP","A","2002",64.7166037718937,
"SWE","WKGPOP","TOT","PC_POP","A","2003",64.9151417377893,
"SWE","WKGPOP","TOT","PC_POP","A","2004",65.0962346948374,
"SWE","WKGPOP","TOT","PC_POP","A","2005",65.3135859117054,
"SWE","WKGPOP","TOT","PC_POP","A","2006",65.546049966819,
"SWE","WKGPOP","TOT","PC_POP","A","2007",65.669500736383,
"SWE","WKGPOP","TOT","PC_POP","A","2008",65.6296846329883,
"SWE","WKGPOP","TOT","PC_POP","A","2009",65.4369322747553,
"SWE","WKGPOP","TOT","PC_POP","A","2010",65.1186894275629,
"SWE","WKGPOP","TOT","PC_POP","A","2011",64.7000132074449,
"SWE","WKGPOP","TOT","PC_POP","A","2012",64.2356502456725,
"SWE","WKGPOP","TOT","PC_POP","A","2013",63.7595160355211,
"SWE","WKGPOP","TOT","PC_POP","A","2014",63.3191678514208,
"SWE","WKGPOP","TOT","PC_POP","A","2015",62.9597589921527,
"SWE","WKGPOP","TOT","PC_POP","A","2016",62.702006210568,
"SWE","WKGPOP","TOT","PC_POP","A","2017",62.5228543915877,
"SWE","WKGPOP","TOT","PC_POP","A","2018",62.3778662170775,
"SWE","WKGPOP","TOT","PC_POP","A","2019",62.2739930622846,
"SWE","WKGPOP","TOT","PC_POP","A","2020",62.2054168641855,
"GBR","WKGPOP","TOT","PC_POP","A","1970",63.1256311624158,
"GBR","WKGPOP","TOT","PC_POP","A","1971",62.6720083905001,
"GBR","WKGPOP","TOT","PC_POP","A","1972",62.515915158397,
"GBR","WKGPOP","TOT","PC_POP","A","1973",62.4493816068839,
"GBR","WKGPOP","TOT","PC_POP","A","1974",62.4682527853065,
"GBR","WKGPOP","TOT","PC_POP","A","1975",62.5826263348029,
"GBR","WKGPOP","TOT","PC_POP","A","1976",62.8323483934439,
"GBR","WKGPOP","TOT","PC_POP","A","1977",63.1447621112047,
"GBR","WKGPOP","TOT","PC_POP","A","1978",63.4426842168268,
"GBR","WKGPOP","TOT","PC_POP","A","1979",63.7520487400679,
"GBR","WKGPOP","TOT","PC_POP","A","1980",64.0491735146412,
"GBR","WKGPOP","TOT","PC_POP","A","1981",64.3718585350114,
"GBR","WKGPOP","TOT","PC_POP","A","1982",64.7703455015873,
"GBR","WKGPOP","TOT","PC_POP","A","1983",65.2352345866321,
"GBR","WKGPOP","TOT","PC_POP","A","1984",65.6542241675743,
"GBR","WKGPOP","TOT","PC_POP","A","1985",65.6066494376918,
"GBR","WKGPOP","TOT","PC_POP","A","1986",65.6259901963232,
"GBR","WKGPOP","TOT","PC_POP","A","1987",65.6005731149931,
"GBR","WKGPOP","TOT","PC_POP","A","1988",65.5286253984086,
"GBR","WKGPOP","TOT","PC_POP","A","1989",65.3901221013199,
"GBR","WKGPOP","TOT","PC_POP","A","1990",65.2682744158624,
"GBR","WKGPOP","TOT","PC_POP","A","1991",65.0633132828417,
"GBR","WKGPOP","TOT","PC_POP","A","1992",64.8392545706286,
"GBR","WKGPOP","TOT","PC_POP","A","1993",64.6875052901044,
"GBR","WKGPOP","TOT","PC_POP","A","1994",64.6641616898233,
"GBR","WKGPOP","TOT","PC_POP","A","1995",64.6926842435077,
"GBR","WKGPOP","TOT","PC_POP","A","1996",64.7461004222275,
"GBR","WKGPOP","TOT","PC_POP","A","1997",64.7800231466584,
"GBR","WKGPOP","TOT","PC_POP","A","1998",64.8377733348111,
"GBR","WKGPOP","TOT","PC_POP","A","1999",64.9613209991809,
"GBR","WKGPOP","TOT","PC_POP","A","2000",65.1675961027452,
"GBR","WKGPOP","TOT","PC_POP","A","2001",65.3553812919984,
"GBR","WKGPOP","TOT","PC_POP","A","2002",65.5255055880185,
"GBR","WKGPOP","TOT","PC_POP","A","2003",65.6824270278575,
"GBR","WKGPOP","TOT","PC_POP","A","2004",65.8250632139615,
"GBR","WKGPOP","TOT","PC_POP","A","2005",66.0316633052642,
"GBR","WKGPOP","TOT","PC_POP","A","2006",66.2596998142291,
"GBR","WKGPOP","TOT","PC_POP","A","2007",66.359826856488,
"GBR","WKGPOP","TOT","PC_POP","A","2008",66.3062130858014,
"GBR","WKGPOP","TOT","PC_POP","A","2009",66.1839067558837,
"GBR","WKGPOP","TOT","PC_POP","A","2010",66.0355373379909,
"GBR","WKGPOP","TOT","PC_POP","A","2011",65.9092366778965,
"GBR","WKGPOP","TOT","PC_POP","A","2012",65.380024151939,
"GBR","WKGPOP","TOT","PC_POP","A","2013",64.9967614401064,
"GBR","WKGPOP","TOT","PC_POP","A","2014",64.681900724668,
"GBR","WKGPOP","TOT","PC_POP","A","2015",64.4571587844663,
"GBR","WKGPOP","TOT","PC_POP","A","2016",64.216887525714,
"GBR","WKGPOP","TOT","PC_POP","A","2017",63.9660622618374,
"GBR","WKGPOP","TOT","PC_POP","A","2018",63.7588565158262,
"GBR","WKGPOP","TOT","PC_POP","A","2019",63.5672076361375,
"GBR","WKGPOP","TOT","PC_POP","A","2020",63.5017224042122,
"USA","WKGPOP","TOT","PC_POP","A","1970",61.9388575709517,
"USA","WKGPOP","TOT","PC_POP","A","1971",62.2962338700263,
"USA","WKGPOP","TOT","PC_POP","A","1972",62.8069705046957,
"USA","WKGPOP","TOT","PC_POP","A","1973",63.3407303523439,
"USA","WKGPOP","TOT","PC_POP","A","1974",63.8706823285472,
"USA","WKGPOP","TOT","PC_POP","A","1975",64.3206673991063,
"USA","WKGPOP","TOT","PC_POP","A","1976",64.8432497796548,
"USA","WKGPOP","TOT","PC_POP","A","1977",65.2699915103756,
"USA","WKGPOP","TOT","PC_POP","A","1978",65.6505154030348,
"USA","WKGPOP","TOT","PC_POP","A","1979",65.9691034327015,
"USA","WKGPOP","TOT","PC_POP","A","1980",66.11401206016,
"USA","WKGPOP","TOT","PC_POP","A","1981",66.2372026524189,
"USA","WKGPOP","TOT","PC_POP","A","1982",66.2797506037806,
"USA","WKGPOP","TOT","PC_POP","A","1983",66.282278682306,
"USA","WKGPOP","TOT","PC_POP","A","1984",66.3476539894841,
"USA","WKGPOP","TOT","PC_POP","A","1985",66.3967658215943,
"USA","WKGPOP","TOT","PC_POP","A","1986",66.459100622898,
"USA","WKGPOP","TOT","PC_POP","A","1987",66.3684679957174,
"USA","WKGPOP","TOT","PC_POP","A","1988",66.227030753036,
"USA","WKGPOP","TOT","PC_POP","A","1989",66.0061158929959,
"USA","WKGPOP","TOT","PC_POP","A","1990",65.7910438426513,
"USA","WKGPOP","TOT","PC_POP","A","1991",65.5876230612962,
"USA","WKGPOP","TOT","PC_POP","A","1992",65.4752470958492,
"USA","WKGPOP","TOT","PC_POP","A","1993",65.374371378164,
"USA","WKGPOP","TOT","PC_POP","A","1994",65.3649992791851,
"USA","WKGPOP","TOT","PC_POP","A","1995",65.4342855373924,
"USA","WKGPOP","TOT","PC_POP","A","1996",65.5349183281112,
"USA","WKGPOP","TOT","PC_POP","A","1997",65.7106123606566,
"USA","WKGPOP","TOT","PC_POP","A","1998",65.887913344222,
"USA","WKGPOP","TOT","PC_POP","A","1999",66.0431651546311,
"USA","WKGPOP","TOT","PC_POP","A","2000",66.2076147343382,
